symbol,name,sector,subindustry,address,date_added,CIK,frequency
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",,940944,7
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/1976,1326160,3
DVN,Devon Energy Corp.,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",,1090012,4
EA,Electronic Arts,Information Technology,Home Entertainment Software,"Redwood City, California",,712515,11
EBAY,eBay Inc.,Information Technology,Internet Software & Services,"San Jose, California",,1065088,18
ECL,Ecolab Inc.,Materials,Specialty Chemicals,"St. Paul, Minnesota",1/31/1989,31462,4
ED,Consolidated Edison,Utilities,Electric Utilities,"New York, New York",,1047862,8
EFX,Equifax Inc.,Industrials,Research & Consulting Services,"Atlanta, Georgia",,33185,4
EIX,Edison Int'l,Utilities,Electric Utilities,"Rosemead, California",,827052,7
EMN,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee",1/1/1994,915389,10
EMR,Emerson Electric Company,Industrials,Industrial Conglomerates,"Ferguson, Missouri",3/31/1965,32604,2
EQIX,Equinix,Real Estate,REITs,"Redwood City, California",3/20/2015,1101239,5
ESRX,Express Scripts,Health Care,Health Care Distributors,"Cool Valley, Missouri",9/25/2003,1532063,1
ETFC,E*Trade,Financials,Investment Banking & Brokerage,"New York, New York",3/31/2004,1015780,9
ETN,Eaton Corporation,Industrials,Industrial Conglomerates,"Dublin, Ireland",,1551182,1
ETR,Entergy Corp.,Utilities,Electric Utilities,"New Orleans, Louisiana",,65984,3
EXC,Exelon Corp.,Utilities,MultiUtilities,"Chicago, Illinois",,1109357,5
EXPE,Expedia Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Bellevue, Washington",10/2/2007,1324424,15
F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",,37996,22
FB,Facebook,Information Technology,Internet Software & Services,"Menlo Park, California",12/23/2013,1326801,29
FCX,Freeport-McMoran Cp & Gld,Materials,Copper,"Phoenix, Arizona",,831259,4
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,"Memphis, Tennessee",12/31/1980,1048911,13
FE,FirstEnergy Corp,Utilities,Electric Utilities,"Akron, Ohio",,1031296,4
FFIV,F5 Networks,Information Technology,Networking Equipment,"Seattle, Washington",12/20/2010,1048695,5
FIS,Fidelity National Information Services,Information Technology,Internet Software & Services,"Jacksonville, Florida",,1136893,9
FITB,Fifth Third Bancorp,Financials,Banks,"Cincinnati, Ohio",,35527,5
FL,Foot Locker Inc,Consumer Discretionary,Apparel Retail,"New York, New York",4/4/2016,850209,6
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",,40533,5
GE,General Electric,Industrials,Industrial Conglomerates,"Fairfield, Connecticut",,40545,27
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",3/31/1969,40704,18
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",6/6/2013,1467858,19
GOOG,Alphabet Inc Class C,Information Technology,Internet Software & Services,"Mountain View, California",,1652044,14
GOOGL,Alphabet Inc Class A,Information Technology,Internet Software & Services,"Mountain View, California",4/3/2014,1652044,40
GPS,Gap (The),Consumer Discretionary,Apparel Retail,"San Francisco, California",8/31/1986,39911,8
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/2012,1121788,5
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,"New York, New York",,886982,21
GT,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber,"Akron, Ohio",,42582,3
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,45012,11
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",3/31/1988,354950,14
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York, New York",5/31/1984,4447,1
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",,793952,9
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",11/2/2015,1645590,6
HPQ,HP Inc.,Information Technology,Computer Hardware,"Palo Alto, California",12/31/1974,47217,7
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",,47111,1
IBM,International Business Machines,Information Technology,IT Consulting & Other Services,"Armonk, New York",,51143,14
INTC,Intel Corp.,Information Technology,Semiconductors,"Santa Clara, California",12/31/1976,50863,23
INTU,Intuit Inc.,Information Technology,Internet Software & Services,"Mountain View, California",12/5/2000,896878,10
IP,International Paper,Materials,Paper Packaging,"Memphis, Tennessee",,51434,5
IQV,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Service,"Durham, North Carolina",8/29/2017,1478242,2
IT,Gartner Inc,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",4/5/2017,749251,3
JCI,Johnson Controls International,Industrials,Building Products,"Cork, Ireland",8/27/2010,833444,7
JNJ,Johnson & Johnson,Health Care,Health Care Equipment,"New Brunswick, New Jersey",6/30/1973,200406,2
JNPR,Juniper Networks,Information Technology,Networking Equipment,"Sunnyvale, California",,1043604,5
JPM,JPMorgan Chase & Co.,Financials,Banks,"New York, New York",6/30/1975,19617,8
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",,55067,9
KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,"Pittsburgh, Pennsylvania",7/6/2015,1545158,2
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",,55785,4
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",6/28/2010,1170010,9
L,Loews Corp.,Financials,Multi-Sector Holdings,"New York, New York",,60086,4
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,"Bethesda, Maryland",7/31/1984,936468,4
LNC,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania",6/30/1976,59558,1
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",2/29/1984,60667,2
MA,Mastercard Inc.,Information Technology,Internet Software & Services,"Harrison, New York",7/18/2008,1141391,6
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286,1
MAT,Mattel Inc.,Consumer Discretionary,Leisure Products,"El Segundo, California",3/31/1982,63276,1
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,"Oak Brook, Illinois",6/30/1970,63908,9
MET,MetLife Inc.,Financials,Life & Health Insurance,"New York, New York",,1099219,3
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,66740,8
MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",,764180,6
MON,Monsanto Co.,Materials,Fertilizers & Agricultural Chemicals,"Creve Coeur, Missouri",8/7/2002,1110783,7
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York, New York",,895421,13
MSFT,Microsoft Corp.,Information Technology,Systems Software,"Redmond, Washington",6/1/1994,789019,24
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",9/27/1994,723125,3
NDAQ,NASDAQ OMX Group,Financials,Diversified Financial Services,"New York, New York",10/22/2008,1120193,17
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,"Los Gatos, California",12/20/2010,1065280,37
NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",11/30/1988,320187,18
NSC,Norfolk Southern Corp.,Industrials,Railroads,"Norfolk, Virginia",,702165,6
NTAP,NetApp,Information Technology,Internet Software & Services,"Sunnyvale, California",,1002047,4
NVDA,Nvidia Corporation,Information Technology,Semiconductors,"Santa Clara, California",,1045810,7
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,"Sandy Springs, Georgia",4/30/1989,814453,2
ORCL,Oracle Corp.,Information Technology,Application Software,"Redwood Shores, California",8/31/1989,1341439,9
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",3/27/2009,898173,3
PCLN,Priceline.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",11/6/2009,1075531,3
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,"Purchase, New York",,77476,12
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,"New York, New York",,78003,1
PG,Procter & Gamble,Consumer Staples,Personal Products,"Cincinnati, Ohio",,80424,3
PGR,Progressive Corp.,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",,80661,10
PKI,PerkinElmer,Health Care,Health Care Equipment,"Waltham, Massachusetts",5/31/1985,31791,3
PM,Philip Morris International,Consumer Staples,Tobacco,"New York, New York",3/31/2008,1413329,8
PPL,PPL Corp.,Utilities,Electric Utilities,"Allentown, Pennsylvania",,922224,4
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",5/1/2012,1534701,15
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,"San Jose, California",7/20/2015,1633917,6
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,"San Diego, California",,804328,6
RHT,Red Hat Inc.,Information Technology,Systems Software,"Raleigh, North Carolina",7/27/2009,1087423,7
ROK,Rockwell Automation Inc.,Industrials,Industrial Conglomerates,"Milwaukee, Wisconsin",,1024478,9
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,"Seattle, Washington",,829224,8
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",6/30/1964,89800,1
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,"CuraÃ§ao, Kingdom of the Netherlands",3/31/1965,87347,6
SNA,Snap-On Inc.,Consumer Discretionary,Household Appliances,"Kenosha, Wisconsin",9/30/1982,91440,8
SO,Southern Co.,Utilities,Electric Utilities,"Atlanta, Georgia",,92122,7
STI,SunTrust Banks,Financials,Banks,"Atlanta, Georgia",5/31/1988,750556,3
STT,State Street Corp.,Financials,Diversified Financial Services,"Boston, Massachusetts",,93751,8
STX,Seagate Technology,Information Technology,Computer Storage & Peripherals,"Dublin, Ireland",7/2/2012,1137789,3
SYMC,Symantec Corp.,Information Technology,Application Software,"Mountain View, California",3/25/2003,849399,2
SYY,Sysco Corp.,Consumer Staples,Food Distributors,"Houston, Texas",12/31/1986,96021,8
T,AT&T Inc,Telecommunications Services,Integrated Telecommunications Services,"Dallas, Texas",11/30/1983,732717,23
TAP,Molson Coors Brewing Company,Consumer Staples,Brewers,"Denver, Colorado",6/30/1976,24545,5
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",12/31/1976,27419,1
TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,98246,4
TPR,Tapestry Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,1116132,9
TRIP,TripAdvisor,Consumer Discretionary,Internet & Direct Marketing Retail,"Newton, Massachusetts",12/21/2011,1526520,9
TWX,Time Warner Inc.,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",,1105705,22
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",,97476,10
UA,Under Armour,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",5/1/2014,1336917,9
UNP,Union Pacific,Industrials,Railroads,"Omaha, Nebraska",,100885,8
USB,U.S. Bancorp,Financials,Banks,"Minneapolis, Minnesota",,36104,1
UTX,United Technologies,Industrials,Industrial Conglomerates,"Hartford, Connecticut",,101829,7
V,Visa Inc.,Information Technology,Internet Software & Services,"San Francisco, California",12/21/2009,1403161,24
VIAB,Viacom Inc.,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",,1339947,6
VZ,Verizon Communications,Telecommunications Services,Integrated Telecommunications Services,"New York, New York",11/30/1983,732712,20
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",12/31/1979,1618921,6
WDC,Western Digital,Information Technology,Computer Storage & Peripherals,"Irvine, California",7/1/2009,106040,11
WFC,Wells Fargo,Financials,Banks,"San Francisco, California",6/30/1976,72971,22
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640,6
WM,Waste Management Inc.,Industrials,Environmental Services,"Houston, Texas",,823768,7
WMB,Williams Cos.,Energy,Oil & Gas Exploration & Production,"Tulsa, Oklahoma",3/31/1975,107263,8
WMT,Wal-Mart Stores,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",8/31/1982,104169,21
WY,Weyerhaeuser Corp.,Real Estate,REITs,"Federal Way, Washington",,106535,7
WYN,Wyndham Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Parsippany, New Jersey",,1361658,10
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",11/14/2008,1174922,3
XEL,Xcel Energy Inc,Utilities,MultiUtilities,"Minneapolis, Minnesota",,72903,8
XL,XL Capital,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",,875159,8
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",,34088,19
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"York, Pennsylvania",11/14/2008,818479,3
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,"Louisville, Kentucky",10/6/1997,1041061,8
ZION,Zions Bancorp,Financials,Regional Banks,"Salt Lake City, Utah",,109380,9

